id,value,size,calories,fat,cholesterol,sodium,carbohydrate,protein
food.vegetables.bulbs.Onions,6,1 medium (110 g),44,0.1,0,4,10,1.2
food.vegetables.bulbs.Shallots,6,100 g,72,0.1,0,12,17,2.5
food.vegetables.bulbs.Spring onions,6,1 medium (15 g),5,0,0,2,1.1,0.3
food.vegetables.flowers,6
food.vegetables.flowers.Broccoli,6,1 cup (91 g),31,0.3,0,30,6,2.5
food.vegetables.flowers.Cauliflower,6,1 medium (588 g),147,1.6,0,176,29,11
food.vegetables.fruits,6
food.vegetables.fruits.Capsicums,6,100 g,40,0.2,0,7,9,2
food.vegetables.fruits.Chilli peppers,6,100 g,40,0.2,0,7,9,2
food.vegetables.fruits.Cucumber,6,0.5 slices,8,0.1,0,0,1.9,0.3
food.vegetables.fruits.Eggplant,6,1 cup (82 g),20,0.1,0,2,4.8,0.8
food.vegetables.fruits.Melons,6,1 medium (552 g),186,1,0,88,45,4.6
food.vegetables.fruits.Pumpkins,6,1 cup (116 g),30,0.1,0,1,8,1.2
food.vegetables.fruits.Tomatoes,6,1 medium (123 g),22,0.2,0,6,4.8,1.1
food.vegetables.fungi,6
food.vegetables.fungi.Mushrooms,6,1 medium (18 g),4,0.1,0,1,0.6,0.6
food.vegetables.leaves,6
food.vegetables.leaves.Brussels Sprouts,6,1 cup (88 g),38,0.3,0,22,8,3
food.vegetables.leaves.Cabbages,6,1 medium (23 g),6,0,0,4,1.3,0.3
food.vegetables.leaves.Kale,6,1 cup (67 g),33,0.6,0,25,6,2.9
food.vegetables.leaves.Lettuce,6,1 cup (36 g),5,0.1,0,10,1,0.5
food.vegetables.leaves.Spinach,6,1 cup (30 g),7,0,0,24,1,1,
food.vegetables.roots,6
food.vegetables.roots.Beetroot,6,1 cup (136 g),59,0.2,0,106,13,2.2
food.vegetables.roots.Carrots,6,1 medium,25,0,0,0,6,0.5
food.vegetables.roots.Ginger,6,5 slices (11 g),9,0.1,0,1,2,0.2
food.vegetables.roots.Parsnips,6,1 cup (133 g),100,0.4,0,13,24,1.6
food.vegetables.roots.Radishes,6,1 cup (116 g),18,0.1,0,45,3.9,0.8
food.vegetables.roots.Turnips,6,1 medium (122 g),34,0.1,0,82,8,1.1
food.vegetables.seeds,6
food.vegetables.seeds.beans,6
food.vegetables.seeds.beans.Black Beans,6,0.5 cup,109,0.4,0,0,20,7
food.vegetables.seeds.beans.Black-eyed Peas,6,1 cup (171 g),198,0.9,0,7,35,13
food.vegetables.seeds.beans.Cannellini Beans,6,1 cup,225,0.9,0,0,40.4,15.4
food.vegetables.seeds.beans.Fava Beans,6,1 cup (126 g),111,0.9,0,32,22,10
food.vegetables.seeds.beans.Garbanzo Beans,6,1 cup (200 g),729,12,0,48,121,39
food.vegetables.seeds.beans.Great Northern Beans,6,1 cup (182 g),255,1.1,0,0,47,15
food.vegetables.seeds.beans.Kidney Beans,6,1 cup (184 g),613,1.5,0,44,110,43
food.vegetables.seeds.beans.Lentils,6,1 cup (198 g),230,0.8,0,4,40,18
food.vegetables.seeds.beans.Lima Beans,6,1 cup (188 g),217,0.7,0,4,39,15
food.vegetables.seeds.beans.Navy Beans,6,1 cup (182 g),255,1.1,0,0,47,15
food.vegetables.seeds.beans.Pinto Beans,6,1 cup (198 g),670,2.4,0,23,121,41
food.vegetables.seeds.beans.Red Beans,6,1 cup (184 g),613,1.5,0,44,110,43
food.vegetables.seeds.beans.Soybeans,6,1 cup (186 g),830,37,0,4,56,68
food.vegetables.seeds.Peas,6,1 cup (145 g),118,0.6,0,7,21,8
food.vegetables.seeds.Sweet Corn,6,1 medium (90 g),77,1.1,0,14,17,2.9
food.vegetables.stems,6
food.vegetables.stems.Asparagus,6,1 cup (134 g),27,0.2,0,3,5,2.9
food.vegetables.stems.Celery,6,1 stalk,5.6,0.1,0,0,1.2,0.3
food.vegetables.tubers,6
food.vegetables.tubers.Potatoes,6,1 medium (148 g),110,0,0,8,26,3
food.vegetables.tubers.Yams,6,1 cup (150 g),177,0.3,0,14,42,2.3
