origin,destination,count
Belgium,Burundi,497
France,Burundi,248
Democratic Republic of the Congo,Burundi,137611
Kenya,Burundi,847
Rwanda,Burundi,52794
Uganda,Burundi,731
United Republic of Tanzania,Burundi,22974
France,Comoros,486
Kenya,Comoros,77
Madagascar,Comoros,9689
Réunion,Comoros,857
United Republic of Tanzania,Comoros,146
Yemen,Djibouti,240
Ethiopia,Djibouti,11141
Somalia,Djibouti,84118
India,Eritrea,117
China,Eritrea,133
France,Eritrea,429
Sudan,Eritrea,205
Angola,Eritrea,341
Democratic Republic of the Congo,Eritrea,1659
South Africa,Eritrea,120
Burundi,Eritrea,1029
Comoros,Eritrea,189
Ethiopia,Eritrea,107
Kenya,Eritrea,345
Malawi,Eritrea,759
Mozambique,Eritrea,1088
Rwanda,Eritrea,459
Somalia,Eritrea,2415
South Sudan,Eritrea,1465
Uganda,Eritrea,1498
United Republic of Tanzania,Eritrea,517
Zambia,Eritrea,237
Zimbabwe,Eritrea,319
Yemen,Ethiopia,118
Sudan,Ethiopia,37102
Democratic Republic of the Congo,Ethiopia,683
Burundi,Ethiopia,132
Djibouti,Ethiopia,3025
Eritrea,Ethiopia,40354
Rwanda,Ethiopia,122
Somalia,Ethiopia,349609
South Sudan,Ethiopia,112021
Uganda,Ethiopia,178
Sudan,Kenya,26998
Democratic Republic of the Congo,Kenya,9133
Namibia,Kenya,67
South Africa,Kenya,110
Burundi,Kenya,4256
Eritrea,Kenya,1686
Ethiopia,Kenya,35309
Mozambique,Kenya,589
Rwanda,Kenya,6201
Somalia,Kenya,392063
South Sudan,Kenya,53218
Uganda,Kenya,326978
United Republic of Tanzania,Kenya,39120
India,Madagascar,1425
China,Madagascar,1784
France,Madagascar,8066
Comoros,Madagascar,9876
India,Malawi,2419
Congo,Malawi,1413
Democratic Republic of the Congo,Malawi,2237
South Africa,Malawi,8272
Burundi,Malawi,5314
Mozambique,Malawi,54826
Rwanda,Malawi,4631
Somalia,Malawi,56
United Republic of Tanzania,Malawi,9620
Zambia,Malawi,42865
Zimbabwe,Malawi,37189
Bangladesh,Mauritius,7235
India,Mauritius,7517
Pakistan,Mauritius,163
Sri Lanka,Mauritius,979
Malaysia,Mauritius,53
China,Mauritius,2564
Japan,Mauritius,8
Italy,Mauritius,127
Spain,Mauritius,24
Belgium,Mauritius,103
France,Mauritius,1308
Germany,Mauritius,119
Switzerland,Mauritius,92
Russian Federation,Mauritius,43
Ireland,Mauritius,44
South Africa,Mauritius,541
Madagascar,Mauritius,1979
Seychelles,Mauritius,108
Canada,Mauritius,32
United States of America,Mauritius,43
France,Mayotte,9498
Comoros,Mayotte,56520
Madagascar,Mayotte,5230
India,Mozambique,2258
Pakistan,Mozambique,1299
Portugal,Mozambique,4181
Angola,Mozambique,35921
Democratic Republic of the Congo,Mozambique,5804
Cabo Verde,Mozambique,6267
Nigeria,Mozambique,4923
Lesotho,Mozambique,7207
South Africa,Mozambique,18535
Burundi,Mozambique,1544
Kenya,Mozambique,22769
Malawi,Mozambique,57560
Seychelles,Mozambique,15566
United Republic of Tanzania,Mozambique,6822
Zambia,Mozambique,4884
Zimbabwe,Mozambique,89469
France,Réunion,81294
Comoros,Réunion,2143
Madagascar,Réunion,16210
Mauritius,Réunion,4893
Mayotte,Réunion,6294
Democratic Republic of the Congo,Rwanda,207397
Burundi,Rwanda,64931
Kenya,Rwanda,2598
Uganda,Rwanda,92808
United Republic of Tanzania,Rwanda,43060
Bangladesh,Seychelles,197
India,Seychelles,5788
Maldives,Seychelles,34
Nepal,Seychelles,157
Pakistan,Seychelles,22
Sri Lanka,Seychelles,534
Indonesia,Seychelles,126
Philippines,Seychelles,630
Thailand,Seychelles,214
China,Seychelles,456
Italy,Seychelles,109
Spain,Seychelles,22
Belgium,Seychelles,34
France,Seychelles,214
Germany,Seychelles,76
Russian Federation,Seychelles,86
Nigeria,Seychelles,122
South Africa,Seychelles,228
Kenya,Seychelles,366
Madagascar,Seychelles,716
Mauritius,Seychelles,495
Somalia,Seychelles,58
Uganda,Seychelles,25
Australia,Seychelles,46
Cuba,Seychelles,39
Eritrea,Somalia,37
Ethiopia,Somalia,26183
India,South Sudan,1454
Egypt,South Sudan,5287
Libya,South Sudan,177
Central African Republic,South Sudan,5166
Chad,South Sudan,5327
Democratic Republic of the Congo,South Sudan,67795
Mali,South Sudan,198
Nigeria,South Sudan,3635
Eritrea,South Sudan,3410
Ethiopia,South Sudan,8605
Kenya,South Sudan,9821
Uganda,South Sudan,144466
Bangladesh,Uganda,133
India,Uganda,3497
Pakistan,Uganda,630
China,Uganda,364
Japan,Uganda,182
Republic of Korea,Uganda,154
Greece,Uganda,36
Italy,Uganda,360
Spain,Uganda,53
Belgium,Uganda,38
France,Uganda,221
Germany,Uganda,208
Netherlands,Uganda,190
Hungary,Uganda,8
Russian Federation,Uganda,271
Denmark,Uganda,154
Norway,Uganda,7
Sweden,Uganda,25
Sudan,Uganda,145366
Democratic Republic of the Congo,Uganda,159519
Côte d'Ivoire,Uganda,56
Nigeria,Uganda,3
Togo,Uganda,3
Burundi,Uganda,20352
Eritrea,Uganda,5923
Ethiopia,Uganda,1900
Kenya,Uganda,38271
Malawi,Uganda,6
Mozambique,Uganda,26
Rwanda,Uganda,70951
Somalia,Uganda,17425
United Republic of Tanzania,Uganda,21802
Zambia,Uganda,6
Zimbabwe,Uganda,2
Cuba,Uganda,16
Canada,Uganda,237
United States of America,Uganda,858
India,United Republic of Tanzania,7629
Pakistan,United Republic of Tanzania,635
Italy,United Republic of Tanzania,550
Germany,United Republic of Tanzania,924
Angola,United Republic of Tanzania,1186
Congo,United Republic of Tanzania,24354
Democratic Republic of the Congo,United Republic of Tanzania,62386
Botswana,United Republic of Tanzania,136
Lesotho,United Republic of Tanzania,140
Namibia,United Republic of Tanzania,613
South Africa,United Republic of Tanzania,678
Burundi,United Republic of Tanzania,111256
Comoros,United Republic of Tanzania,567
Kenya,United Republic of Tanzania,27864
Malawi,United Republic of Tanzania,7011
Mauritius,United Republic of Tanzania,187
Mozambique,United Republic of Tanzania,28177
Rwanda,United Republic of Tanzania,5246
Seychelles,United Republic of Tanzania,355
Somalia,United Republic of Tanzania,2273
Uganda,United Republic of Tanzania,6938
Zambia,United Republic of Tanzania,10265
Zimbabwe,United Republic of Tanzania,809
Canada,United Republic of Tanzania,282
United States of America,United Republic of Tanzania,1234
India,Zambia,4630
China,Zambia,1007
Japan,Zambia,100
France,Zambia,70
Germany,Zambia,279
Egypt,Zambia,164
Angola,Zambia,37306
Cameroon,Zambia,243
Congo,Zambia,8481
Democratic Republic of the Congo,Zambia,20933
Ghana,Zambia,175
Mali,Zambia,217
Nigeria,Zambia,508
Senegal,Zambia,142
Botswana,Zambia,918
Namibia,Zambia,630
South Africa,Zambia,3072
Burundi,Zambia,3243
Kenya,Zambia,536
Malawi,Zambia,13467
Mozambique,Zambia,1301
Rwanda,Zambia,7462
Uganda,Zambia,456
United Republic of Tanzania,Zambia,5918
Zimbabwe,Zambia,17226
Australia,Zambia,264
Canada,Zambia,200
United States of America,Zambia,949
Botswana,Zimbabwe,3705
South Africa,Zimbabwe,18910
Malawi,Zimbabwe,103681
Mozambique,Zimbabwe,117799
Zambia,Zimbabwe,30373
Portugal,Angola,6329
Chad,Angola,26
Congo,Angola,862
Democratic Republic of the Congo,Angola,30944
Sao Tome and Principe,Angola,6536
Cabo Verde,Angola,7493
Côte d'Ivoire,Angola,33
Guinea,Angola,274
Namibia,Angola,725
South Africa,Angola,5118
Mozambique,Angola,203
Rwanda,Angola,871
Zambia,Angola,251
Greece,Cameroon,153
Italy,Cameroon,407
France,Cameroon,3695
Germany,Cameroon,236
Netherlands,Cameroon,127
Angola,Cameroon,2046
Central African Republic,Cameroon,105626
Chad,Cameroon,49629
Congo,Cameroon,2365
Democratic Republic of the Congo,Cameroon,3265
Equatorial Guinea,Cameroon,2688
Gabon,Cameroon,845
Benin,Cameroon,1921
Guinea,Cameroon,3665
Liberia,Cameroon,3407
Mali,Cameroon,6567
Niger,Cameroon,8409
Nigeria,Cameroon,82748
Senegal,Cameroon,2524
Canada,Cameroon,143
United States of America,Cameroon,655
Cyprus,Central African Republic,8
Turkey,Central African Republic,8
Italy,Central African Republic,76
Slovenia,Central African Republic,49
Austria,Central African Republic,24
France,Central African Republic,10976
Netherlands,Central African Republic,38
Switzerland,Central African Republic,166
Russian Federation,Central African Republic,156
Denmark,Central African Republic,2
Ireland,Central African Republic,12
Sweden,Central African Republic,14
Egypt,Central African Republic,44
Sudan,Central African Republic,22388
Chad,Central African Republic,11488
Democratic Republic of the Congo,Central African Republic,19723
Sao Tome and Principe,Central African Republic,84
Mali,Central African Republic,345
Togo,Central African Republic,10
South Africa,Central African Republic,60
Australia,Central African Republic,12
Canada,Central African Republic,213
United States of America,Central African Republic,628
France,Chad,852
Libya,Chad,1054
Sudan,Chad,293127
Cameroon,Chad,29790
Central African Republic,Chad,75211
Congo,Chad,687
Democratic Republic of the Congo,Chad,247
Gabon,Chad,281
Niger,Chad,2512
Nigeria,Chad,2401
Lebanon,Congo,878
China,Congo,695
Portugal,Congo,1084
France,Congo,7765
Germany,Congo,436
Russian Federation,Congo,1938
Angola,Congo,31028
Cameroon,Congo,8502
Central African Republic,Congo,24601
Chad,Congo,7949
Democratic Republic of the Congo,Congo,252142
Equatorial Guinea,Congo,1190
Gabon,Congo,2380
Benin,Congo,11432
Mali,Congo,25520
Mauritania,Congo,2369
Senegal,Congo,9981
Togo,Congo,1834
Rwanda,Congo,18900
Cuba,Congo,403
United States of America,Congo,125
Sudan,Democratic Republic of the Congo,626
Angola,Democratic Republic of the Congo,260002
Congo,Democratic Republic of the Congo,1551
Burundi,Democratic Republic of the Congo,37686
Rwanda,Democratic Republic of the Congo,124070
South Sudan,Democratic Republic of the Congo,4472
Uganda,Democratic Republic of the Congo,33
Spain,Equatorial Guinea,1023
France,Equatorial Guinea,3649
Cameroon,Equatorial Guinea,638
Gabon,Equatorial Guinea,205
Sao Tome and Principe,Equatorial Guinea,1194
Nigeria,Equatorial Guinea,287
Israel,Gabon,11
Lebanon,Gabon,1633
Syrian Arab Republic,Gabon,18
China,Gabon,226
Japan,Gabon,21
Republic of Korea,Gabon,127
Belgium,Gabon,327
France,Gabon,10497
Germany,Gabon,57
Algeria,Gabon,72
Morocco,Gabon,467
Tunisia,Gabon,146
Angola,Gabon,723
Cameroon,Gabon,33089
Chad,Gabon,2955
Congo,Gabon,10660
Democratic Republic of the Congo,Gabon,5818
Equatorial Guinea,Gabon,56815
Sao Tome and Principe,Gabon,4251
Benin,Gabon,34101
Burkina Faso,Gabon,4567
Côte d'Ivoire,Gabon,2216
Ghana,Gabon,4156
Guinea,Gabon,3251
Mali,Gabon,36033
Nigeria,Gabon,15619
Senegal,Gabon,19925
Togo,Gabon,15035
South Africa,Gabon,8
Burundi,Gabon,109
Rwanda,Gabon,137
Canada,Gabon,190
United States of America,Gabon,359
Portugal,Sao Tome and Principe,134
Angola,Sao Tome and Principe,404
Equatorial Guinea,Sao Tome and Principe,165
Gabon,Sao Tome and Principe,268
Cabo Verde,Sao Tome and Principe,1538
Mozambique,Sao Tome and Principe,131
India,Botswana,4850
Pakistan,Botswana,400
Sri Lanka,Botswana,850
China,Botswana,4100
Italy,Botswana,470
Portugal,Botswana,400
Germany,Botswana,290
Netherlands,Botswana,548
Denmark,Botswana,297
Ireland,Botswana,539
Norway,Botswana,337
Sweden,Botswana,376
Angola,Botswana,670
Democratic Republic of the Congo,Botswana,970
Nigeria,Botswana,1060
Lesotho,Botswana,240
Namibia,Botswana,850
South Africa,Botswana,4920
Kenya,Botswana,1040
Madagascar,Botswana,482
Malawi,Botswana,1270
Mauritius,Botswana,200
Mozambique,Botswana,520
Seychelles,Botswana,10
Uganda,Botswana,280
United Republic of Tanzania,Botswana,700
Zambia,Botswana,3790
Zimbabwe,Botswana,55160
Australia,Botswana,337
Canada,Botswana,160
United States of America,Botswana,790
India,Lesotho,223
Pakistan,Lesotho,223
China,Lesotho,118
Ghana,Lesotho,87
Botswana,Lesotho,106
Namibia,Lesotho,4
South Africa,Lesotho,2544
Malawi,Lesotho,36
Mozambique,Lesotho,23
Uganda,Lesotho,134
United Republic of Tanzania,Lesotho,83
Zambia,Lesotho,68
Zimbabwe,Lesotho,68
United States of America,Lesotho,87
Afghanistan,Namibia,43
Bangladesh,Namibia,32
India,Namibia,674
Iran (Islamic Republic of),Namibia,30
Pakistan,Namibia,166
Armenia,Namibia,63
Bahrain,Namibia,49
Israel,Namibia,108
Lebanon,Namibia,46
Turkey,Namibia,35
Indonesia,Namibia,90
Philippines,Namibia,246
Thailand,Namibia,74
China,Namibia,3106
Japan,Namibia,113
Republic of Korea,Namibia,35
Italy,Namibia,824
Portugal,Namibia,433
Spain,Namibia,344
Austria,Namibia,609
Belgium,Namibia,184
France,Namibia,536
Germany,Namibia,9063
Luxembourg,Namibia,43
Netherlands,Namibia,516
Switzerland,Namibia,428
Bulgaria,Namibia,30
Poland,Namibia,168
Romania,Namibia,30
Russian Federation,Namibia,454
Ukraine,Namibia,257
Denmark,Namibia,113
Finland,Namibia,79
Ireland,Namibia,60
Norway,Namibia,53
Sweden,Namibia,101
Algeria,Namibia,484
Egypt,Namibia,174
Libya,Namibia,35
Sudan,Namibia,199
Angola,Namibia,38119
Cameroon,Namibia,118
Congo,Namibia,1117
Democratic Republic of the Congo,Namibia,3548
Benin,Namibia,156
Burkina Faso,Namibia,71
Côte d'Ivoire,Namibia,30
Gambia,Namibia,86
Ghana,Namibia,143
Guinea,Namibia,53
Nigeria,Namibia,982
Senegal,Namibia,30
Sierra Leone,Namibia,163
Botswana,Namibia,658
Lesotho,Namibia,126
South Africa,Namibia,8481
Burundi,Namibia,389
Ethiopia,Namibia,211
Kenya,Namibia,1110
Malawi,Namibia,369
Mauritius,Namibia,106
Mozambique,Namibia,137
Rwanda,Namibia,358
Seychelles,Namibia,56
Somalia,Namibia,93
Uganda,Namibia,481
United Republic of Tanzania,Namibia,1098
Zambia,Namibia,3024
Zimbabwe,Namibia,14449
Australia,Namibia,536
New Zealand,Namibia,50
Antigua and Barbuda,Namibia,469
Bahamas,Namibia,50
Cuba,Namibia,680
Argentina,Namibia,50
Brazil,Namibia,534
Chile,Namibia,32
Canada,Namibia,188
United States of America,Namibia,1050
Afghanistan,South Africa,81
Bangladesh,South Africa,2192
India,South Africa,34871
Iran (Islamic Republic of),South Africa,608
Maldives,South Africa,48
Nepal,South Africa,109
Pakistan,South Africa,8659
Sri Lanka,South Africa,853
Bahrain,South Africa,142
Cyprus,South Africa,4254
Iraq,South Africa,142
Israel,South Africa,3868
Jordan,South Africa,48
Kuwait,South Africa,78
Lebanon,South Africa,801
Oman,South Africa,26
Saudi Arabia,South Africa,535
State of Palestine,South Africa,82
Syrian Arab Republic,South Africa,100
Turkey,South Africa,976
United Arab Emirates,South Africa,154
Yemen,South Africa,76
Brunei Darussalam,South Africa,18
Indonesia,South Africa,1053
Lao People's Democratic Republic,South Africa,26
Malaysia,South Africa,787
Myanmar,South Africa,186
Philippines,South Africa,1296
Singapore,South Africa,787
Thailand,South Africa,757
Viet Nam,South Africa,139
China,South Africa,20281
Japan,South Africa,1514
Republic of Korea,South Africa,1441
Kyrgyzstan,South Africa,31
Albania,South Africa,140
Bosnia and Herzegovina,South Africa,175
Croatia,South Africa,865
Gibraltar,South Africa,46
Greece,South Africa,7818
Italy,South Africa,20192
Malta,South Africa,294
Portugal,South Africa,39257
Serbia,South Africa,3356
Spain,South Africa,1260
Austria,South Africa,4667
Belgium,South Africa,6883
France,South Africa,6557
Germany,South Africa,49105
Luxembourg,South Africa,21
Monaco,South Africa,21
Netherlands,South Africa,17414
Switzerland,South Africa,1700
Belarus,South Africa,206
Bulgaria,South Africa,3405
Poland,South Africa,8532
Romania,South Africa,1400
Russian Federation,South Africa,2940
Slovakia,South Africa,364
Ukraine,South Africa,3297
Denmark,South Africa,2187
Estonia,South Africa,125
Finland,South Africa,560
Iceland,South Africa,26
Ireland,South Africa,10480
Latvia,South Africa,363
Lithuania,South Africa,347
Norway,South Africa,962
Sweden,South Africa,208
