origin,destination,count
Belgium,Burundi,670
France,Burundi,334
Democratic Republic of the Congo,Burundi,185833
Kenya,Burundi,1143
Rwanda,Burundi,71294
Uganda,Burundi,986
United Republic of Tanzania,Burundi,31024
France,Comoros,480
Kenya,Comoros,75
Madagascar,Comoros,9611
Réunion,Comoros,846
United Republic of Tanzania,Comoros,144
Yemen,Djibouti,272
Ethiopia,Djibouti,12650
Somalia,Djibouti,95518
India,Eritrea,120
China,Eritrea,136
France,Eritrea,440
Sudan,Eritrea,210
Angola,Eritrea,349
Democratic Republic of the Congo,Eritrea,1704
South Africa,Eritrea,123
Burundi,Eritrea,1056
Comoros,Eritrea,193
Ethiopia,Eritrea,109
Kenya,Eritrea,354
Malawi,Eritrea,779
Mozambique,Eritrea,1118
Rwanda,Eritrea,471
Somalia,Eritrea,2481
South Sudan,Eritrea,1504
Uganda,Eritrea,1539
United Republic of Tanzania,Eritrea,531
Zambia,Eritrea,243
Zimbabwe,Eritrea,327
Yemen,Ethiopia,156
Sudan,Ethiopia,42651
Democratic Republic of the Congo,Ethiopia,1706
Burundi,Ethiopia,194
Djibouti,Ethiopia,3996
Eritrea,Ethiopia,222248
Rwanda,Ethiopia,161
Somalia,Ethiopia,477774
South Sudan,Ethiopia,476311
Uganda,Ethiopia,235
Sudan,Kenya,9518
Democratic Republic of the Congo,Kenya,22937
Namibia,Kenya,63
South Africa,Kenya,103
Burundi,Kenya,7706
Eritrea,Kenya,1972
Ethiopia,Kenya,34203
Mozambique,Kenya,557
Rwanda,Kenya,5869
Somalia,Kenya,452919
South Sudan,Kenya,88793
Uganda,Kenya,309490
United Republic of Tanzania,Kenya,37027
India,Madagascar,1721
China,Madagascar,2155
France,Madagascar,9747
Comoros,Madagascar,11932
India,Malawi,2424
Congo,Malawi,11560
Democratic Republic of the Congo,Malawi,9406
South Africa,Malawi,8292
Burundi,Malawi,8849
Mozambique,Malawi,58344
Rwanda,Malawi,7108
Somalia,Malawi,71
United Republic of Tanzania,Malawi,9644
Zambia,Malawi,42971
Zimbabwe,Malawi,37294
Bangladesh,Mauritius,8403
India,Mauritius,8741
Pakistan,Mauritius,188
Sri Lanka,Mauritius,1136
Malaysia,Mauritius,61
China,Mauritius,2978
Japan,Mauritius,9
Italy,Mauritius,147
Spain,Mauritius,27
Belgium,Mauritius,119
France,Mauritius,1518
Germany,Mauritius,137
Switzerland,Mauritius,105
Russian Federation,Mauritius,49
Ireland,Mauritius,50
South Africa,Mauritius,627
Madagascar,Mauritius,2298
Seychelles,Mauritius,125
Canada,Mauritius,36
United States of America,Mauritius,49
France,Mayotte,9743
Comoros,Mayotte,57991
Madagascar,Mayotte,5364
India,Mozambique,2464
Pakistan,Mozambique,1417
Portugal,Mozambique,4565
Angola,Mozambique,39224
Democratic Republic of the Congo,Mozambique,11497
Cabo Verde,Mozambique,6843
Nigeria,Mozambique,5375
Lesotho,Mozambique,7869
South Africa,Mozambique,20239
Burundi,Mozambique,3121
Kenya,Mozambique,24863
Malawi,Mozambique,62854
Seychelles,Mozambique,16997
United Republic of Tanzania,Mozambique,7449
Zambia,Mozambique,5333
Zimbabwe,Mozambique,97699
France,Réunion,85340
Comoros,Réunion,2248
Madagascar,Réunion,17019
Mauritius,Réunion,5136
Mayotte,Réunion,6606
Democratic Republic of the Congo,Rwanda,248670
Burundi,Rwanda,137669
Kenya,Rwanda,2707
Uganda,Rwanda,96724
United Republic of Tanzania,Rwanda,44877
Bangladesh,Seychelles,222
India,Seychelles,6550
Maldives,Seychelles,38
Nepal,Seychelles,176
Pakistan,Seychelles,24
Sri Lanka,Seychelles,604
Indonesia,Seychelles,142
Philippines,Seychelles,712
Thailand,Seychelles,241
China,Seychelles,515
Italy,Seychelles,123
Spain,Seychelles,24
Belgium,Seychelles,38
France,Seychelles,241
Germany,Seychelles,85
Russian Federation,Seychelles,97
Nigeria,Seychelles,137
South Africa,Seychelles,257
Kenya,Seychelles,413
Madagascar,Seychelles,809
Mauritius,Seychelles,559
Somalia,Seychelles,64
Uganda,Seychelles,28
Australia,Seychelles,51
Cuba,Seychelles,43
Yemen,Somalia,7051
Eritrea,Somalia,40
Ethiopia,Somalia,19348
India,South Sudan,1449
Egypt,South Sudan,5275
Libya,South Sudan,156
Sudan,South Sudan,576668
Central African Republic,South Sudan,4690
Chad,South Sudan,5315
Democratic Republic of the Congo,South Sudan,89982
Mali,South Sudan,208
Nigeria,South Sudan,3626
Eritrea,South Sudan,3402
Ethiopia,South Sudan,13110
Kenya,South Sudan,9800
Uganda,South Sudan,149303
Bangladesh,Uganda,126
India,Uganda,3524
Pakistan,Uganda,1070
China,Uganda,366
Japan,Uganda,183
Republic of Korea,Uganda,154
Greece,Uganda,35
Italy,Uganda,362
Spain,Uganda,53
Belgium,Uganda,38
France,Uganda,222
Germany,Uganda,209
Netherlands,Uganda,191
Hungary,Uganda,8
Russian Federation,Uganda,272
Denmark,Uganda,154
Norway,Uganda,7
Sweden,Uganda,25
Sudan,Uganda,67395
Democratic Republic of the Congo,Uganda,315753
Côte d'Ivoire,Uganda,56
Nigeria,Uganda,3
Togo,Uganda,3
Burundi,Uganda,54494
Eritrea,Uganda,14592
Ethiopia,Uganda,3238
Kenya,Uganda,36822
Malawi,Uganda,6
Mozambique,Uganda,26
Rwanda,Uganda,70635
Somalia,Uganda,37207
South Sudan,Uganda,1100096
United Republic of Tanzania,Uganda,21979
Zambia,Uganda,6
Zimbabwe,Uganda,2
Cuba,Uganda,16
Canada,Uganda,237
United States of America,Uganda,861
India,United Republic of Tanzania,7187
Pakistan,United Republic of Tanzania,599
Italy,United Republic of Tanzania,515
Germany,United Republic of Tanzania,867
Angola,United Republic of Tanzania,1123
Congo,United Republic of Tanzania,22434
Democratic Republic of the Congo,United Republic of Tanzania,79456
Botswana,United Republic of Tanzania,126
Lesotho,United Republic of Tanzania,133
Namibia,United Republic of Tanzania,577
South Africa,United Republic of Tanzania,638
Burundi,United Republic of Tanzania,295436
Comoros,United Republic of Tanzania,534
Kenya,United Republic of Tanzania,24434
Malawi,United Republic of Tanzania,6194
Mauritius,United Republic of Tanzania,172
Mozambique,United Republic of Tanzania,13138
Rwanda,United Republic of Tanzania,521
Seychelles,United Republic of Tanzania,335
Somalia,United Republic of Tanzania,2660
Uganda,United Republic of Tanzania,4355
Zambia,United Republic of Tanzania,7688
Zimbabwe,United Republic of Tanzania,764
Canada,United Republic of Tanzania,263
United States of America,United Republic of Tanzania,1157
India,Zambia,5255
China,Zambia,1143
Japan,Zambia,113
France,Zambia,78
Germany,Zambia,315
Egypt,Zambia,185
Angola,Zambia,28908
Cameroon,Zambia,275
Congo,Zambia,9628
Democratic Republic of the Congo,Zambia,44073
Ghana,Zambia,198
Mali,Zambia,246
