origin,destination,count
Belgium,Burundi,621
France,Burundi,310
Democratic Republic of the Congo,Burundi,41447
Kenya,Burundi,216
Rwanda,Burundi,160197
Uganda,Burundi,1546
United Republic of Tanzania,Burundi,9780
France,Comoros,538
Kenya,Comoros,86
Madagascar,Comoros,10701
Réunion,Comoros,948
United Republic of Tanzania,Comoros,162
Yemen,Djibouti,236
Ethiopia,Djibouti,10943
Somalia,Djibouti,82625
India,Eritrea,54
China,Eritrea,53
France,Eritrea,159
Sudan,Eritrea,155
Angola,Eritrea,433
Democratic Republic of the Congo,Eritrea,816
South Africa,Eritrea,143
Burundi,Eritrea,1141
Comoros,Eritrea,60
Ethiopia,Eritrea,687
Kenya,Eritrea,202
Malawi,Eritrea,228
Mozambique,Eritrea,2218
Rwanda,Eritrea,703
Somalia,Eritrea,1607
South Sudan,Eritrea,1109
Uganda,Eritrea,682
United Republic of Tanzania,Eritrea,296
Zambia,Eritrea,121
Zimbabwe,Eritrea,125
Yemen,Ethiopia,89
Sudan,Ethiopia,33008
Democratic Republic of the Congo,Ethiopia,63
Burundi,Ethiopia,25
Djibouti,Ethiopia,1901
Eritrea,Ethiopia,34949
Rwanda,Ethiopia,93
Somalia,Ethiopia,459615
South Sudan,Ethiopia,235512
Uganda,Ethiopia,135
Sudan,Kenya,41215
Democratic Republic of the Congo,Kenya,391
Namibia,Kenya,112
South Africa,Kenya,185
Burundi,Kenya,147
Eritrea,Kenya,66
Ethiopia,Kenya,29521
Mozambique,Kenya,980
Rwanda,Kenya,5861
Somalia,Kenya,172164
South Sudan,Kenya,53996
Uganda,Kenya,134005
United Republic of Tanzania,Kenya,73119
India,Madagascar,1037
China,Madagascar,1312
France,Madagascar,5908
Comoros,Madagascar,7242
India,Malawi,2683
Congo,Malawi,1567
Democratic Republic of the Congo,Malawi,2481
South Africa,Malawi,9179
Burundi,Malawi,5896
Mozambique,Malawi,60845
Rwanda,Malawi,5138
Somalia,Malawi,61
United Republic of Tanzania,Malawi,10676
Zambia,Malawi,47571
Zimbabwe,Malawi,41271
Bangladesh,Mauritius,150
India,Mauritius,1483
Pakistan,Mauritius,3
Sri Lanka,Mauritius,19
Malaysia,Mauritius,33
China,Mauritius,3273
Japan,Mauritius,14
Italy,Mauritius,56
Spain,Mauritius,7
Belgium,Mauritius,35
France,Mauritius,696
Germany,Mauritius,70
Switzerland,Mauritius,30
Russian Federation,Mauritius,28
Ireland,Mauritius,14
South Africa,Mauritius,192
Madagascar,Mauritius,242
Seychelles,Mauritius,39
Canada,Mauritius,27
United States of America,Mauritius,30
France,Mayotte,2791
Comoros,Mayotte,20154
Madagascar,Mayotte,2061
India,Mozambique,1238
Pakistan,Mozambique,711
Portugal,Mozambique,2294
Angola,Mozambique,19720
Democratic Republic of the Congo,Mozambique,3185
Cabo Verde,Mozambique,3439
Nigeria,Mozambique,2702
Lesotho,Mozambique,3955
South Africa,Mozambique,10175
Burundi,Mozambique,846
Kenya,Mozambique,12499
Malawi,Mozambique,31600
Seychelles,Mozambique,8545
United Republic of Tanzania,Mozambique,3744
Zambia,Mozambique,2680
Zimbabwe,Mozambique,49118
France,Réunion,50738
Comoros,Réunion,952
Madagascar,Réunion,7218
Mauritius,Réunion,2181
Mayotte,Réunion,3893
Democratic Republic of the Congo,Rwanda,89770
Burundi,Rwanda,37445
Kenya,Rwanda,1455
Uganda,Rwanda,48486
United Republic of Tanzania,Rwanda,24121
Bangladesh,Seychelles,14
India,Seychelles,1651
Maldives,Seychelles,1
Nepal,Seychelles,33
Pakistan,Seychelles,17
Sri Lanka,Seychelles,391
Indonesia,Seychelles,114
Philippines,Seychelles,229
Thailand,Seychelles,237
China,Seychelles,80
Italy,Seychelles,29
Spain,Seychelles,10
Belgium,Seychelles,26
France,Seychelles,167
Germany,Seychelles,48
Russian Federation,Seychelles,45
Nigeria,Seychelles,32
South Africa,Seychelles,224
Kenya,Seychelles,178
Madagascar,Seychelles,279
Mauritius,Seychelles,383
Somalia,Seychelles,13
Uganda,Seychelles,5
Australia,Seychelles,59
Cuba,Seychelles,26
Ethiopia,Somalia,18044
Bangladesh,Uganda,46
India,Uganda,1244
Pakistan,Uganda,204
China,Uganda,129
Japan,Uganda,64
Republic of Korea,Uganda,55
Greece,Uganda,37
Italy,Uganda,369
Spain,Uganda,55
Belgium,Uganda,41
France,Uganda,228
Germany,Uganda,214
Netherlands,Uganda,197
Hungary,Uganda,9
Russian Federation,Uganda,279
Denmark,Uganda,161
Norway,Uganda,8
Sweden,Uganda,27
Algeria,Uganda,33
Egypt,Uganda,41
Libya,Uganda,46
Sudan,Uganda,268735
Democratic Republic of the Congo,Uganda,73273
Côte d'Ivoire,Uganda,64
Gambia,Uganda,27
Ghana,Uganda,27
Mauritania,Uganda,36
Nigeria,Uganda,108
Senegal,Uganda,54
Togo,Uganda,99
Burundi,Uganda,46279
Ethiopia,Uganda,175
