name,culture,location,gender,species,type,linkwik,linkgc,lon,lat,picture
Zaramama,Inca,Peru,Female,Human,Agriculture,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=ZARAMAMMA,-69.590424,-17.580012,inca/zaramama-01.png
Supay,Inca,Peru,Male,Human,Death,http://en.wikipedia.org/wiki/Supay,http://www.godchecker.com/pantheon/incan-mythology.php?deity=SUPAY,-71.37525,-17.773799,inca/supay-01.png
Chasca,Inca,Peru,Female,Human,Love,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=CHASCA,-76.259242,-13.535039,inca/chasca-01.png
Mama-Quilla,Inca,Peru,Female,Human,Moon,http://en.wikipedia.org/wiki/Mama_Killa,http://www.godchecker.com/pantheon/incan-mythology.php?deity=MAMA-QUILLA,-79.036953,-8.386568,inca/mamaquilla-01.png
Mama-Pacha,Inca,Peru,Female,,Motherhood,http://en.wikipedia.org/wiki/Pachamama,http://www.godchecker.com/pantheon/incan-mythology.php?deity=MAMA-PACHA,-81.410943,-4.736765,inca/mamapacha-01.png
Mama-Qucha,Inca,Peru,Female,Human,Sea,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=MAMA-COCHA,-80.028908,-4.346091,inca/mamacoca-01.png
Viracocha,Inca,Peru,Male,,Sky,http://en.wikipedia.org/wiki/Viracocha,http://www.godchecker.com/pantheon/incan-mythology.php?deity=VIRACOCHA,-75.373223,-0.152032,inca/viracocha-01.png
Catequil,Inca,Peru,Male,,Storm,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=CATEQUIL,-70.813476,-2.256865,inca/catequil-01.png
Inti,Inca,Peru,Male,Human,Sun,http://en.wikipedia.org/wiki/Inti,http://www.godchecker.com/pantheon/incan-mythology.php?deity=INTI,-73.724487,-6.918595,inca/inti-01.png
Tsukiyomi,Japanese,Japan,Male,Human,Moon,http://en.wikipedia.org/wiki/Tsukuyomi-no-Mikoto,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=TSUKIYOMI,133.79295,33.521985,japanese/tsukuyomi-01.png
Ebisu,Japanese,Japan,Male,Human,Sea,http://en.wikipedia.org/wiki/Ebisu_(mythology),http://www.godchecker.com/pantheon/japanese-mythology.php?deity=EBISU,140.59977,36.343983,japanese/ebisu-01.png
Susanoo,Japanese,Japan,Male,Human,Storm,http://en.wikipedia.org/wiki/Susanoo-no-Mikoto,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=SUSANOO,135.079435,34.596545,japanese/susanoo-01.png
Amaterasu,Japanese,Japan,Female,Human,Sun,http://en.wikipedia.org/wiki/Amaterasu,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=AMATERASU,129.408463,33.296056,japanese/amaterasu-01.png
Hachiman,Japanese,Japan,Male,Human,War,http://en.wikipedia.org/wiki/Hachiman,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=HACHIMAN,141.884601,39.180865,japanese/hachiman-01.png
Benzaiten,Japanese,Japan,Female,Human,Wisdom,http://en.wikipedia.org/wiki/Benzaiten,http://www.godchecker.com/,139.817544,42.563759,japanese/Benzaiten-01.png
Freyre,Norse,Scandinavia,Male,Human,Agriculture,http://en.wikipedia.org/wiki/Freyr,http://www.godchecker.com/pantheon/norse-mythology.php?deity=FREYR,28.165547,71.185474,norse/freyr-01.png
