Employer,CEO,CEO_Pay,Worker_Pay,Ratio,Rating,CEO_Pay_TT,Industry
Rockwell Collins,Robert K. Ortberg,5828786,81536,71,3.5,5828786,Industrials
CA Technologies,Michael P. Gregoire,8344222,122520,68,3.2,8344222,Information Technology
Mallinckrodt Pharmaceuticals,Mark Christopher Trudeau,6502676,96995,67,2.7,6502676,Health Care
NetApp,Thomas Georgens,8580575,130033,66,3.5,8580575,Information Technology
Autodesk,Carl Bass,8297290,130149,64,3.9,8297290,Information Technology
Linear Technology,Lothar Maier,6386772,102429,62,3.8,6386772,Information Technology
F5 Networks,John McAdam,8143742,138403,59,4.2,8143742,Information Technology
Akamai,F. Thomson Leighton,7499987,129603,58,4,7499987,Information Technology
ONEOK,Terry K. Spencer,4042922,74365,54,3.7,4042922,Energy
Visa Inc.,Charles W. Scharf,7692113,154171,50,3,7692113,Information Technology
FLIR,Andrew C. Teich,4616007,94063,49,3.7,4616007,Information Technology
NVIDIA,Jen-Hsun Huang,6022630,127317,47,3.9,6022630,Information Technology
Essex Property Trust,Michael J. Schall,2764573,60000,46,2.9,2764573,Real Estate
Patterson Companies,Scott P. Anderson,2570509,56997,45,3.4,2570509,Health Care
First Solar,James A. Hughes,3776136,102693,37,3.8,3776136,Information Technology
Genworth Financial,Thomas J. McInerney,2696365,77128,35,3.3,2696365,Financials
Garmin,Clifton A. Pemble,1716612,72491,24,3.8,1716612,Consumer
Intuitive Surgical,Gary S. Guthart,2617963,125073,21,3.8,2617963,Health Care
Amazon.com,Jeffrey P. Bezos,1681840,114352,15,3.4,1681840,Consumer
TripAdvisor,Stephen Kaufer,1207960,102100,12,3.3,1207960,Consumer
Facebook,Mark Zuckerberg,610455,146120,4,4.4,610455,Communication Services
Urban Outfitters,Richard A. Hayne,68487,19898,3,3.3,68487,Consumer
Symantec,Michael Brown,376364,124474,3,3.3,376364,Information Technology
Kinder Morgan,Richard D. Kinder,1,81916,0,3.4,1,Energy
Google,Larry Page,1,153150,0,4.4,1,Information Technology
Fossil,Kosta N. Kartsotis,0,32570,0,3.4,0,Consumer
Bed Bath & Beyond,Steven H. Temares,19116040,26047,734,2.9,19116040,Consumer
Gap,Glenn Murphy,16064312,22800,705,3.6,16064312,Consumer
Ross Stores,Barbara Rentler,12083834,19120,632,2.8,12083834,Consumer
